Dates,A UN Equity,AAL UW Equity,AAP UN Equity,AAPL UW Equity,ABBV UN Equity,ABC UN Equity,ABT UN Equity,ACGL UW Equity,ACN UN Equity,ADBE UW Equity,ADI UW Equity,ADM UN Equity,ADP UW Equity,ADSK UW Equity,AEE UN Equity,AEP UW Equity,AES UN Equity,AFL UN Equity,AIG UN Equity,AIZ UN Equity,AJG UN Equity,AKAM UW Equity,ALB UN Equity,ALGN UW Equity,ALK UN Equity,ALL UN Equity,ALLE UN Equity,AMAT UW Equity,AMCR UN Equity,AMD UW Equity,AME UN Equity,AMGN UW Equity,AMP UN Equity,AMT UN Equity,AMZN UW Equity,ANET UN Equity,ANSS UW Equity,AON UN Equity,AOS UN Equity,APA UW Equity,APD UN Equity,APH UN Equity,APTV UN Equity,ARE UN Equity,ATO UN Equity,ATVI UW Equity,AVB UN Equity,AVGO UW Equity,AVY UN Equity,AWK UN Equity
2020-11-17,109.86,12.7,149.3,119.39,99.21,104.89,113.06,35.24,243.82,467.95,135.87,50.16,176.15,252.71,80.6,86.73,21.35,43.0,38.42,138.59,117.08,102.45,127.95,451.38,47.46,99.37,115.46,74.37,11.93,83.36,118.76,232.44,184.23,239.18,156.783,69.445,319.79,207.19,56.38,11.44,266.29,63.53,114.44,165.29,100.05,77.11,174.12,380.6,149.44,159.29
2020-11-18,105.95,12.74,148.1,118.03,98.72,103.44,109.77,34.89,239.73,459.47,133.23,49.27,173.16,252.22,79.06,84.13,21.37,42.86,38.55,135.62,115.45,100.59,126.54,444.61,47.72,100.07,114.56,75.71,11.84,82.54,119.24,227.76,183.33,237.7,155.273,68.0075,317.99,203.36,56.49,11.04,267.7,62.9,115.05,162.53,96.17,75.5,169.6,380.62,147.43,156.19
2020-11-19,108.68,12.79,146.08,118.64,99.67,101.9,111.0,34.87,243.2,466.41,136.17,48.92,173.63,256.88,78.35,82.45,20.88,43.72,38.54,134.92,116.04,101.5,125.8,441.35,48.49,100.37,114.13,77.25,11.92,85.54,118.18,224.67,183.63,238.43,155.851,68.2175,324.12,202.92,56.6,11.35,270.36,63.6,115.36,163.74,95.1,75.93,170.3,384.33,147.03,156.65
2020-11-20,110.89,12.53,144.33,117.34,100.84,100.46,110.89,33.97,243.44,462.92,134.88,48.61,171.27,254.89,78.45,82.49,20.42,43.85,38.61,133.89,115.55,102.32,127.89,446.45,47.72,100.18,113.0,76.725,11.93,84.64,117.42,223.17,179.8,232.66,154.97,67.125,318.26,198.67,56.06,11.44,270.48,63.695,114.32,164.14,95.67,76.81,171.9,383.33,147.5,157.71
2020-11-23,112.21,13.56,145.56,113.85,102.18,100.48,109.27,33.99,246.2,460.61,137.07,48.81,172.06,257.25,79.3,83.41,20.46,44.45,39.77,135.33,115.41,102.81,134.06,476.58,49.72,101.31,114.16,80.5,11.57,85.31,117.79,222.22,183.76,228.91,154.92,67.115,313.42,203.18,57.49,12.86,275.26,64.035,116.6,163.97,96.86,75.92,171.05,387.0,147.48,155.22
2020-11-24,114.68,14.82,149.83,115.17,103.96,103.1,107.61,34.55,250.0,462.7,136.89,50.56,175.27,258.97,79.07,84.82,21.15,46.13,40.98,136.08,116.42,102.52,137.26,475.1,52.37,104.88,116.79,82.95,11.8,85.07,121.25,220.46,192.67,228.06,155.903,68.0775,320.12,207.93,57.96,14.04,284.02,65.625,121.66,162.36,100.28,75.23,173.31,392.23,153.06,153.2
2020-11-25,114.35,14.94,149.4,116.03,104.2,103.11,106.41,33.55,249.33,470.08,135.95,50.5,174.08,271.24,80.58,85.37,20.98,45.61,40.12,135.58,116.07,103.74,134.73,473.69,52.47,103.95,115.21,81.14,11.59,86.71,119.82,220.31,190.19,233.0,159.254,67.6375,322.87,208.07,56.37,14.12,278.12,65.415,118.47,162.58,99.41,76.51,171.05,390.83,151.56,153.13
2020-11-26,114.35,14.94,149.4,116.03,104.2,103.11,106.41,33.55,249.33,470.08,135.95,50.5,174.08,271.24,80.58,85.37,20.98,45.61,40.12,135.58,116.07,103.74,134.73,473.69,52.47,103.95,115.21,81.14,11.59,86.71,119.82,220.31,190.19,233.0,159.254,67.6375,322.87,208.07,56.37,14.12,278.12,65.415,118.47,162.58,99.41,76.51,171.05,390.83,151.56,153.13
2020-11-27,114.09,14.98,149.93,116.59,104.89,103.2,107.62,33.03,250.12,477.03,137.75,50.45,175.25,272.81,78.99,84.92,21.04,45.28,39.71,133.79,115.86,104.32,137.66,475.5,51.55,104.14,114.28,82.66,11.48,87.19,119.77,224.81,190.75,234.09,159.767,68.14,330.41,206.58,57.08,13.92,277.83,65.975,121.86,162.14,96.82,78.14,167.87,394.95,150.3,153.73
2020-11-30,116.9,14.13,147.7,119.05,104.58,103.11,108.22,32.195,249.09,478.47,139.08,49.77,173.88,280.23,77.78,84.89,20.44,43.93,38.44,129.12,115.41,103.51,135.97,481.29,50.97,102.35,114.04,82.48,11.33,92.66,118.53,222.04,185.24,231.2,158.402,67.675,338.06,204.89,56.31,12.89,280.14,65.405,118.7,163.73,95.89,79.48,166.59,401.58,149.34,153.38
2020-12-01,115.36,14.27,152.61,122.72,104.04,102.19,108.49,33.02,252.27,479.15,140.73,50.11,174.67,279.11,78.51,85.21,20.6,44.7,39.31,131.36,116.71,104.21,135.88,500.1,50.94,104.29,115.0,84.27,11.53,92.63,117.24,225.08,190.25,235.83,161.004,68.25,340.85,210.69,55.06,12.37,283.18,65.805,122.21,168.11,96.64,79.93,167.45,404.57,151.75,154.3
2020-12-02,114.57,14.86,148.45,123.08,104.99,103.12,108.15,33.11,249.66,481.26,140.66,49.49,171.58,277.06,78.49,85.87,21.16,45.31,39.73,131.58,116.43,103.46,135.25,505.48,51.29,103.68,113.54,85.29,11.47,93.74,115.02,226.56,193.44,228.9,160.177,67.895,334.93,209.08,54.87,13.11,273.88,65.545,121.0,165.97,96.19,79.15,169.28,403.73,150.84,154.83
2020-12-03,113.58,16.09,150.14,122.94,104.74,101.5,107.53,32.59,249.93,484.28,139.75,49.81,172.09,277.29,77.91,84.74,21.16,45.69,39.84,132.18,115.77,104.09,131.72,511.0,53.01,103.83,113.77,86.1,11.44,92.31,114.43,226.91,194.71,226.22,159.337,67.4225,337.54,210.18,54.96,13.74,267.25,65.85,121.16,167.73,96.52,78.79,171.13,399.8,149.87,152.48
2020-12-04,115.15,16.4,152.47,122.25,107.28,102.98,107.9,34.17,253.44,486.0,143.97,50.57,174.79,278.0,77.08,83.39,21.07,46.29,40.69,132.58,116.02,104.19,139.22,521.72,52.94,104.36,114.54,88.84,11.54,94.04,116.84,229.21,196.28,228.67,158.129,67.5275,343.47,211.6,55.06,15.18,273.76,66.455,123.35,170.94,97.27,80.88,173.84,411.68,154.04,148.9
2020-12-07,114.4,17.21,153.68,123.75,105.84,99.49,107.18,33.25,249.3,492.25,143.71,50.04,174.57,280.8,78.2,83.84,20.87,45.17,39.79,131.33,116.0,102.78,140.0,517.71,51.01,103.41,112.21,89.14,11.35,94.07,117.61,226.45,194.44,224.27,157.9,68.9025,341.89,207.2,55.31,14.61,269.18,66.215,123.46,171.04,97.25,82.27,172.68,420.89,154.18,150.32
2020-12-08,117.01,17.63,152.78,124.38,107.69,100.43,106.8,33.18,249.86,495.28,146.13,50.36,174.53,284.38,77.26,83.49,21.19,45.24,39.52,131.93,116.9,104.1,143.95,515.76,50.97,105.45,113.12,89.75,11.54,92.92,118.57,228.94,192.51,223.61,158.865,70.925,341.28,209.59,56.09,14.76,268.23,66.62,123.07,170.79,97.59,83.63,169.35,423.41,155.31,149.35
2020-12-09,116.4,17.16,157.95,121.78,108.67,101.11,106.32,33.55,246.77,483.74,141.78,49.84,173.84,279.42,77.8,83.6,20.85,45.12,39.94,131.18,117.48,104.43,142.55,509.01,50.36,105.19,111.36,87.82,11.61,89.83,118.76,229.85,193.24,219.44,155.21,69.3975,334.55,207.05,57.67,15.02,270.57,66.81,123.73,171.26,97.75,82.58,166.45,416.22,153.9,148.47
