Dates,A UN Equity,AAL UW Equity,AAP UN Equity,AAPL UW Equity,ABBV UN Equity,ABC UN Equity,ABT UN Equity,ACGL UW Equity,ACN UN Equity,ADBE UW Equity,ADI UW Equity,ADM UN Equity,ADP UW Equity,ADSK UW Equity,AEE UN Equity,AEP UW Equity,AES UN Equity,AFL UN Equity,AIG UN Equity,AIZ UN Equity,AJG UN Equity,AKAM UW Equity,ALB UN Equity,ALGN UW Equity,ALK UN Equity,ALL UN Equity,ALLE UN Equity,AMAT UW Equity,AMCR UN Equity,AMD UW Equity,AME UN Equity,AMGN UW Equity,AMP UN Equity,AMT UN Equity,AMZN UW Equity,ANET UN Equity,ANSS UW Equity,AON UN Equity,AOS UN Equity,APA UW Equity,APD UN Equity,APH UN Equity,APTV UN Equity,ARE UN Equity,ATO UN Equity,ATVI UW Equity,AVB UN Equity,AVGO UW Equity,AVY UN Equity,AWK UN Equity
2019-08-15,4.5386,6.3781,2.6852,9.4775,41.2792,5.9926,4.682,1.4886,8.8014,13.842,3.3979,1.0821,13.2731,236.1145,2.3917,,3.0562,1.3652,0.73,1.361,3.3754,4.052,1.7192,10.1378,1.8322,1.4949,13.4015,5.3691,2.8118,16.9498,4.1263,11.1177,2.6727,18.1073,16.5357,6.5683,6.0888,11.624,4.3934,,4.3804,6.0704,5.8507,2.1283,2.2912,2.9138,2.6557,4.9723,8.8492,3.7317
2019-08-16,4.6358,6.3781,2.6675,9.7011,41.2792,6.0881,4.7289,1.5208,8.9713,14.0741,3.4628,1.1139,13.4299,236.1145,2.4179,,3.1452,1.3805,0.7377,1.4004,3.4219,4.1302,1.759,10.3075,1.8738,1.5152,13.502,5.3088,2.8755,17.8125,4.1909,11.3804,2.7508,18.0048,16.6889,6.7044,6.2514,11.7672,4.4096,,4.4272,6.2301,6.0472,2.1714,2.3136,2.9875,2.6741,5.0674,9.0355,3.7233
2019-08-19,4.6795,6.3781,2.6628,9.882,41.2792,6.1167,4.7724,1.533,9.0623,14.0995,3.4831,1.1195,13.5859,236.1145,2.4283,,3.1783,1.3812,0.7445,1.3921,3.4532,4.1502,1.81,10.3267,1.881,1.5265,13.6604,5.3623,2.9306,17.9838,4.2422,11.4909,2.7876,18.1873,16.9081,6.7738,6.3534,11.9386,4.441,,4.4235,6.3445,6.1736,2.1839,2.3229,3.0681,2.6984,5.16,9.175,3.7164
2019-08-20,4.6384,6.3781,2.6438,9.8825,41.2792,6.0156,4.7155,1.5215,9.0168,13.9889,3.4556,1.1033,13.499,236.1145,2.4186,,3.1431,1.3597,0.7258,1.3801,3.4158,4.1302,1.7891,10.1453,1.8661,1.5152,13.4411,5.3202,2.89,17.5497,4.2183,11.333,2.7511,18.2172,16.7709,6.6441,6.3591,11.7561,4.401,,4.3686,6.2395,6.0724,2.1676,2.3088,3.1245,2.6832,5.1894,9.0442,3.7051
2019-08-21,4.7088,6.3781,2.6604,9.9896,41.2792,6.017,4.7356,1.5238,9.0879,14.2738,3.4023,1.1095,13.6446,236.1145,2.4268,,3.17,1.2842,0.7293,1.3908,3.4501,4.236,1.8377,10.2552,1.8567,1.525,13.5062,5.3316,2.7973,18.1095,4.2241,11.376,2.7859,18.3642,16.9772,6.8669,6.504,11.8692,4.462,,4.4249,6.3416,6.164,2.178,2.3271,3.1398,2.7015,5.3214,9.114,3.7182
2019-08-22,4.6788,6.3781,2.6852,9.9811,41.2792,5.9633,4.706,1.5139,9.1162,14.0858,3.4035,1.1166,13.6317,236.1145,2.4236,,3.1452,1.2981,0.7301,1.3918,3.4658,4.2288,1.7627,10.4052,1.8543,1.534,13.5388,5.3543,2.7654,18.2238,4.1967,11.347,2.7996,18.4554,16.8102,6.8893,6.476,11.9276,4.4277,,4.3598,6.3193,6.1706,2.1906,2.3296,3.1424,2.7136,5.3236,9.1124,3.7377
2019-08-23,4.536,6.3781,2.6374,9.5198,41.2792,5.8232,4.5699,1.4772,8.9523,13.8288,3.2638,1.1019,13.2514,236.1145,2.3766,,3.0603,1.268,0.713,1.3431,3.3567,4.1464,1.6715,10.1767,1.7984,1.497,13.2176,5.1369,2.7364,16.8756,4.0915,11.1049,2.7106,18.2987,16.289,6.7717,6.2854,11.6203,4.2895,,4.27,6.1431,5.9017,2.1528,2.2757,3.0304,2.6783,5.0369,8.7771,3.6811
2019-08-26,4.5419,6.3781,2.6364,9.7007,41.2792,5.9877,4.6363,1.4928,9.0758,14.1372,3.3221,1.1131,13.413,236.1145,2.393,,3.0707,1.2834,0.721,1.3705,3.3712,4.1874,1.6955,10.1854,1.8124,1.515,13.3025,5.1927,2.8176,17.2983,4.0592,11.458,2.7467,18.5814,16.4682,6.7657,6.3179,11.7678,4.3076,,4.3117,6.133,5.9741,2.1588,2.2887,3.1174,2.7114,5.1311,8.854,3.7392
2019-08-27,4.5315,6.3781,2.6343,9.5912,41.2792,5.6657,4.6659,1.4963,9.1543,14.172,3.354,1.1016,13.4162,236.1145,2.3899,,3.0231,1.2842,0.7164,1.3592,3.3578,4.2045,1.6534,10.1046,1.8009,1.5065,13.2671,5.1813,2.835,17.2526,4.0969,11.5182,2.7269,18.5588,16.4027,6.7832,6.2952,11.7444,4.239,,4.3649,6.1172,5.9859,2.1441,2.2634,3.2711,2.7032,5.1005,8.9515,3.7497
2019-08-28,4.5615,6.3781,2.6708,9.6556,41.2792,5.6469,4.6977,1.5043,9.1394,13.8136,3.3847,1.106,13.446,236.1145,2.3899,,3.0748,1.2879,0.7125,1.3613,3.3525,4.2036,1.6539,10.3087,1.8235,1.5033,13.3407,5.2257,2.8147,17.5839,4.1155,11.5757,2.7402,18.5871,16.4252,6.7438,6.0894,11.7082,4.2971,,4.3697,6.128,6.1086,2.1613,2.2684,3.2148,2.721,5.1096,9.0125,3.7779
2019-08-29,4.611,6.3781,2.6964,9.8191,41.2792,5.7096,4.7311,1.5112,9.2276,14.0339,3.4158,1.1107,13.6245,236.1145,2.434,,3.1286,1.3005,0.7126,1.3713,3.3861,4.2603,1.6865,10.4622,1.8614,1.5005,13.5543,5.3862,2.8234,17.9667,4.2134,11.5455,2.7963,18.6089,16.6315,6.8933,6.2398,11.809,4.3962,,4.3436,6.3028,6.1544,2.1902,2.304,3.2628,2.7538,5.2449,9.1164,3.8037
2019-08-30,4.6378,6.3781,2.694,9.8064,41.2792,5.7347,4.759,1.5112,8.7523,13.469,3.4411,1.1201,13.6566,236.1145,2.434,,3.1721,1.3157,0.7069,1.3832,3.4597,4.2484,1.7211,10.6459,1.854,1.503,13.6208,5.467,2.8466,17.9667,4.2046,11.637,2.8083,18.5911,16.5373,6.8693,6.1616,11.9724,4.4334,,4.3722,6.297,6.1448,2.1969,2.3092,3.2397,2.7614,5.2314,9.1616,3.8163
2019-09-02,4.6378,6.3781,2.694,9.8064,41.2792,5.7347,4.759,1.5112,8.7523,13.469,3.4411,1.1201,13.6566,236.1145,2.434,,3.1721,1.3157,0.7069,1.3832,3.4597,4.2484,1.7211,10.6459,1.854,1.503,13.6208,5.467,2.8466,17.9667,4.2046,11.637,2.8083,18.5911,16.5373,6.8693,6.1616,11.9724,4.4334,,4.3722,6.297,6.1448,2.1969,2.3092,3.2397,2.7614,5.2314,9.1616,3.8163
2019-09-03,4.5921,6.3781,2.7411,9.6636,41.2792,5.8581,4.6887,1.5349,8.6454,13.3715,3.333,1.1184,13.4452,236.1145,2.4763,,3.1741,1.3209,0.7118,1.3856,3.4196,4.2479,1.6793,10.3436,1.876,1.5052,13.4878,5.4204,2.8147,17.6525,4.0798,11.4641,2.7696,19.209,16.6635,6.7987,6.1452,11.8348,4.3457,,4.3653,6.1639,6.0258,2.1991,2.3415,3.2692,2.7813,5.0724,8.9309,3.8816
2019-09-04,4.6215,6.3781,2.771,9.8275,41.2792,5.9375,4.6977,1.5617,8.732,13.4732,3.4211,1.1257,13.6462,236.1145,2.4763,,3.1638,1.3317,0.739,1.3922,3.4334,4.3318,1.7094,10.2546,1.9176,1.5252,13.6902,5.6367,2.8147,17.6811,4.1674,11.5087,2.8146,19.4698,16.7638,6.8575,6.3385,12.0062,4.4124,,4.4013,6.2366,6.2201,2.2372,2.3245,3.4254,2.8082,5.2384,9.0648,3.8591
